customer_id,total_orders,total_spend,avg_order_value,purchase_frequency,unique_books,total_order_lines,avg_shipping_cost,preferred_shipping,recency_days,churn
85,4,68.55,7.616666666666666,9,9,9,8.9,Priority,420,1
86,2,30.549999999999997,15.274999999999999,2,2,2,15.2,International,48,0
87,3,74.82,10.688571428571427,7,7,7,8.471428571428572,Standard,219,1
88,1,14.770000000000001,4.923333333333334,3,3,3,24.5,International,896,1
89,4,77.34,8.593333333333334,9,9,9,9.9,Priority,121,0
90,5,111.05,12.338888888888889,9,9,9,10.233333333333334,Express,179,0
91,2,68.19,13.638,5,5,5,19.46,International,192,1
92,2,28.0,14.0,2,2,2,18.2,Express,283,1
93,3,42.91,8.581999999999999,5,5,5,13.219999999999999,Express,509,1
94,7,159.31,11.379285714285714,14,14,14,20.900000000000002,International,69,0
95,4,116.41,9.700833333333334,12,12,12,13.549999999999999,Express,234,1
96,2,38.18,12.726666666666667,3,3,3,14.1,Priority,398,1
97,1,6.66,6.66,1,1,1,24.5,International,406,1
98,1,26.13,13.065,2,2,2,24.5,International,64,0
99,7,136.57999999999998,11.381666666666666,12,12,12,11.700000000000001,Express,71,0
100,4,53.2,7.6000000000000005,7,7,7,11.12857142857143,Express,258,1
101,7,193.24,12.882666666666667,15,15,15,19.3,International,222,1
102,3,61.03,10.171666666666667,6,6,6,11.4,Express,170,0
103,5,95.91,8.719090909090909,11,11,11,15.118181818181819,Priority,355,1
104,3,37.57,12.523333333333333,3,3,3,19.3,International,173,0
105,3,24.77,6.1925,4,4,4,15.05,Express,121,0
106,4,71.82000000000001,7.98,9,9,9,6.566666666666666,Standard,45,0
107,4,95.01,10.556666666666667,9,9,9,8.566666666666668,Priority,109,0
108,5,140.43,10.030714285714286,14,14,14,9.971428571428572,Priority,14,0
109,6,89.8,8.98,10,10,10,13.88,Express,487,1
110,5,117.44,8.38857142857143,14,14,14,13.314285714285715,Priority,35,0
111,4,67.92,7.546666666666669,9,9,9,10.9,Express,310,1
112,3,62.78,12.556,5,5,5,15.74,Express,6,0
113,4,81.07,10.13375,8,8,8,14.3,Express,164,0
114,6,140.75,10.05357142857143,14,14,14,9.62857142857143,Standard,341,1
115,5,145.44,11.187692307692307,13,13,13,15.36153846153846,Express,74,0
116,4,58.99,9.831666666666667,6,6,6,18.8,International,47,0
117,6,89.03,8.093636363636362,11,11,11,10.863636363636363,Express,598,1
118,4,108.75,10.875,10,10,10,13.940000000000001,International,42,0
119,3,56.459999999999994,11.291999999999998,5,5,5,10.22,Standard,88,0
121,2,42.79,8.558,5,5,5,19.46,International,23,0
122,5,73.06,9.1325,8,8,8,12.8,Express,191,1
123,2,21.990000000000002,7.329999999999999,3,3,3,8.9,Priority,18,0
124,1,1.93,1.93,1,1,1,5.9,Standard,19,0
125,4,55.120000000000005,7.8742857142857146,7,7,7,9.328571428571427,Priority,73,0
126,7,192.01,11.294705882352941,17,17,17,11.652941176470588,Express,107,0
127,6,122.87,12.286999999999999,10,10,10,13.580000000000002,International,18,0
128,4,65.45,10.908333333333333,6,6,6,9.9,Priority,150,0
129,6,152.97,13.906363636363636,11,11,11,16.20909090909091,Express,5,0
130,5,97.74,8.885454545454547,11,11,11,12.009090909090908,Priority,255,1
131,6,101.4,8.450000000000001,12,12,12,16.7,International,186,1
132,3,94.80000000000001,11.850000000000001,8,8,8,10.4,Express,44,0
133,4,84.11,9.345555555555555,9,9,9,15.166666666666666,International,62,0
134,4,45.019999999999996,9.004000000000001,5,5,5,14.540000000000001,International,87,0
135,3,50.790000000000006,10.158000000000001,5,5,5,18.259999999999998,International,109,0
136,6,144.34,9.021249999999998,16,16,16,19.25,International,45,0
137,4,47.08,6.725714285714285,7,7,7,13.785714285714286,Express,24,0
138,2,33.45,11.15,3,3,3,9.9,Priority,192,1
139,5,111.42,9.284999999999998,12,12,12,7.900000000000001,Standard,18,0
140,5,107.61,10.761,10,10,10,16.4,International,118,0
141,2,43.879999999999995,8.776,5,5,5,5.9,Standard,347,1
142,2,38.91,9.7275,4,4,4,15.2,International,82,0
143,2,64.19,16.0475,4,4,4,10.4,Express,477,1
144,3,74.6,8.288888888888888,9,9,9,10.566666666666668,Express,380,1
145,8,153.15,9.571874999999999,16,16,16,11.8625,Standard,70,0
146,3,38.42,7.684,5,5,5,17.66,International,218,1
147,7,185.72,10.92470588235294,17,17,17,10.382352941176471,Standard,17,0
148,9,200.63,10.559473684210525,19,19,19,17.773684210526316,International,8,0
149,1,16.06,16.06,1,1,1,8.9,Priority,943,1
150,5,62.83,8.975714285714286,7,7,7,9.842857142857143,Priority,192,1
151,4,79.46000000000001,11.35142857142857,7,7,7,18.67142857142857,International,145,0
152,3,34.39,5.7316666666666665,6,6,6,14.1,Priority,354,1
153,2,47.06,11.765,4,4,4,18.2,Express,172,0
154,3,55.98,11.196,5,5,5,24.5,International,450,1
155,3,60.46,8.637142857142857,7,7,7,11.042857142857143,Express,48,0
156,3,67.47,11.245,6,6,6,12.5,Priority,286,1
157,7,185.47,11.591875,16,16,16,10.1375,Standard,218,1
158,4,83.22999999999999,9.247777777777777,9,9,9,12.033333333333333,Standard,155,0
159,2,26.92,8.973333333333334,3,3,3,18.3,International,57,0
160,1,19.4,19.4,1,1,1,5.9,Standard,545,1
161,6,109.88,9.156666666666666,12,12,12,15.9,International,128,0
162,7,146.15,10.439285714285715,14,14,14,18.928571428571427,International,187,1
163,3,54.910000000000004,9.151666666666666,6,6,6,11.5,Priority,529,1
164,2,36.75,12.25,3,3,3,24.5,International,35,0
165,3,51.38,8.563333333333334,6,6,6,15.200000000000001,International,638,1
166,4,46.949999999999996,6.707142857142856,7,7,7,17.385714285714286,International,76,0
167,4,79.63,9.95375,8,8,8,17.45,International,211,1
168,5,95.02,9.502,10,10,10,10.1,Express,53,0
169,5,102.29,8.524166666666668,12,12,12,18.75,International,197,1
170,3,39.51,5.644285714285714,7,7,7,7.614285714285715,Standard,11,0
171,2,71.33,11.888333333333334,6,6,6,18.2,Express,463,1
172,2,48.59,9.718000000000002,5,5,5,18.259999999999998,International,553,1
173,2,61.06,10.176666666666668,6,6,6,10.4,Express,498,1
174,2,34.25,8.5625,4,4,4,16.7,International,628,1
175,4,85.66,10.7075,8,8,8,7.025,Standard,215,1
176,3,41.72,5.959999999999999,7,7,7,10.185714285714285,Priority,992,1
178,3,111.99000000000001,12.443333333333333,9,9,9,11.233333333333334,Express,69,0
179,2,12.780000000000001,4.260000000000001,3,3,3,20.3,International,189,1
181,2,70.22999999999999,14.045999999999998,5,5,5,17.06,International,556,1
182,4,112.86,12.54,9,9,9,18.233333333333334,International,511,1
183,3,49.14,7.0200000000000005,7,7,7,9.328571428571427,Express,89,0
184,7,158.01999999999998,13.168333333333331,12,12,12,14.35,International,124,0
185,5,78.78999999999999,8.754444444444443,9,9,9,14.100000000000001,International,379,1
186,6,160.71,12.362307692307693,13,13,13,13.930769230769231,International,159,0
187,3,70.30000000000001,8.787500000000001,8,8,8,17.525,International,143,0
188,2,69.43,13.886000000000001,5,5,5,13.34,Standard,185,1
189,9,209.3,11.627777777777778,18,18,18,11.0,Priority,69,0
190,8,155.55,11.965384615384615,13,13,13,9.13076923076923,Priority,64,0
191,1,16.4,16.4,1,1,1,5.9,Standard,662,1
192,5,125.03,11.366363636363637,11,11,11,12.009090909090908,Express,51,0
193,3,68.95,9.85,7,7,7,9.757142857142856,Priority,361,1
194,4,108.91,10.891,10,10,10,10.82,Standard,370,1
195,1,26.13,13.065,2,2,2,24.5,International,444,1
196,4,36.18,7.236,5,5,5,11.42,Priority,14,0
197,6,121.16,8.654285714285715,14,14,14,9.842857142857143,Priority,339,1
198,3,71.1,10.157142857142857,7,7,7,11.12857142857143,Express,157,0
199,2,48.71,16.236666666666665,3,3,3,16.099999999999998,Express,137,0
200,2,30.64,6.127999999999999,5,5,5,11.9,Express,22,0
201,3,53.739999999999995,7.677142857142857,7,7,7,14.214285714285714,Priority,111,0
202,4,83.75,11.964285714285714,7,7,7,17.814285714285713,International,129,0
203,2,30.41,10.136666666666667,3,3,3,10.9,Express,5,0
204,2,43.42,10.855,4,4,4,15.2,International,22,0
205,5,108.46,9.860000000000001,11,11,11,11.463636363636365,Standard,120,0
206,2,19.46,6.486666666666667,3,3,3,24.5,International,184,1
207,3,43.02,7.170000000000001,6,6,6,8.4,Standard,203,1
208,2,59.49,9.915000000000001,6,6,6,19.3,International,99,0
209,5,87.82000000000001,8.782,10,10,10,9.8,Express,28,0
210,8,196.05,10.891666666666666,18,18,18,15.5,International,60,0
211,5,113.74,11.373999999999999,10,10,10,11.72,Standard,85,0
212,3,78.37,11.195714285714287,7,7,7,13.785714285714286,Express,332,1
213,4,77.82000000000001,7.781999999999999,10,10,10,19.82,International,946,1
214,1,7.41,3.705,2,2,2,11.9,Express,905,1
215,2,57.0,11.4,5,5,5,8.9,Priority,853,1
216,3,42.28,10.57,4,4,4,16.7,International,89,0
217,2,41.620000000000005,10.405000000000001,4,4,4,10.4,Express,641,1
218,2,40.26,10.065,4,4,4,7.4,Standard,324,1
219,6,126.0,9.000000000000002,14,14,14,8.257142857142858,Standard,227,1
220,6,100.59,11.176666666666666,9,9,9,8.566666666666668,Priority,151,0
221,2,10.370000000000001,3.456666666666667,3,3,3,20.3,International,322,1
222,2,34.11,6.822,5,5,5,21.98,International,121,0
223,6,134.44,10.341538461538464,13,13,13,12.453846153846154,Express,56,0
224,3,37.21,7.442,5,5,5,7.1,Standard,414,1
225,8,200.52,11.14,18,18,18,12.9,Standard,227,1
226,2,48.54,9.708,5,5,5,15.14,Priority,670,1
227,5,98.38,8.198333333333334,12,12,12,10.9,Express,308,1
228,1,10.16,3.3866666666666667,3,3,3,5.900000000000001,Standard,864,1
229,3,44.22,11.055,4,4,4,17.45,International,140,0
230,4,78.71000000000001,9.838750000000001,8,8,8,10.100000000000001,Priority,110,0
231,5,97.09,9.709,10,10,10,19.46,International,151,0
232,6,73.21000000000001,7.321,10,10,10,15.2,International,156,0
233,3,78.63,9.82875,8,8,8,7.4,Standard,509,1
234,2,32.120000000000005,10.706666666666665,3,3,3,18.3,International,109,0
235,3,78.4,13.066666666666668,6,6,6,12.1,Standard,84,0
236,10,216.64,10.832,20,20,20,9.98,Express,111,0
237,2,23.87,5.9675,4,4,4,11.9,Express,386,1
238,2,47.07,11.7675,4,4,4,24.5,International,135,0
239,3,45.65,11.4125,4,4,4,8.15,Standard,10,0
240,4,116.97,14.62125,9,9,9,10.700000000000001,Standard,272,1
241,7,162.3,11.592857142857142,14,14,14,17.342857142857145,International,185,1
242,3,51.050000000000004,7.292857142857143,7,7,7,16.52857142857143,International,252,1
243,4,47.25,5.90625,8,8,8,9.275,Express,36,0
244,3,30.6,10.200000000000001,3,3,3,20.3,International,242,1
245,4,84.52,9.39111111111111,9,9,9,9.966666666666667,Standard,95,0
246,2,30.77,7.6925,4,4,4,19.85,International,240,1
247,5,80.43,7.3118181818181816,11,11,11,8.081818181818182,Standard,168,0
248,5,84.13,10.51625,8,8,8,9.725,Standard,29,0
249,3,52.19,7.4557142857142855,7,7,7,13.785714285714286,Express,676,1
250,1,24.04,8.013333333333334,3,3,3,24.5,International,890,1
251,2,39.97,13.323333333333332,3,3,3,18.3,International,236,1
252,1,37.8,12.6,3,3,3,11.9,Express,262,1
253,3,56.96,9.493333333333334,6,6,6,7.900000000000001,Standard,2,0
254,11,208.15,11.56388888888889,18,18,18,15.466666666666665,Express,34,0
255,2,49.34,8.223333333333333,6,6,6,16.7,International,508,1
256,2,12.809999999999999,6.404999999999999,2,2,2,8.9,Express,713,1
257,5,127.97999999999999,12.798,10,10,10,10.22,Standard,263,1
258,3,54.76,7.822857142857144,7,7,7,10.185714285714285,Express,18,0
259,2,28.14,7.035,4,4,4,7.4,Priority,207,1
260,6,147.89,10.563571428571427,14,14,14,12.5,Priority,226,1
261,8,181.37,10.07611111111111,18,18,18,11.533333333333333,Standard,391,1
262,2,49.260000000000005,9.852,5,5,5,11.3,Express,918,1
263,2,21.59,5.3975,4,4,4,7.4,Priority,531,1
264,4,129.84,11.803636363636365,11,11,11,15.990909090909092,Priority,200,1
265,2,28.770000000000003,7.1925,4,4,4,10.4,Express,350,1
266,5,128.36,10.696666666666667,12,12,12,6.650000000000001,Standard,91,0
267,2,19.16,6.386666666666667,3,3,3,6.900000000000001,Standard,235,1
268,4,99.45,11.049999999999999,9,9,9,12.033333333333333,Standard,165,0
269,4,76.6,8.511111111111113,9,9,9,15.833333333333334,Priority,307,1
270,4,107.4,9.763636363636365,11,11,11,21.11818181818182,International,2,0
271,1,22.61,11.305,2,2,2,8.9,Priority,397,1
272,4,36.99,9.2475,4,4,4,16.7,International,144,0
273,2,27.21,9.07,3,3,3,19.3,International,936,1
274,5,76.42,8.491111111111111,9,9,9,10.633333333333333,Express,23,0
275,1,6.86,6.86,1,1,1,24.5,International,436,1
276,5,84.49,9.387777777777778,9,9,9,9.3,Priority,284,1
277,3,32.84,8.21,4,4,4,7.4,Standard,607,1
278,4,69.75999999999999,8.719999999999999,8,8,8,19.025,International,529,1
279,5,74.86,8.317777777777778,9,9,9,13.766666666666667,Priority,85,0
280,3,68.74000000000001,9.820000000000002,7,7,7,8.042857142857143,Priority,297,1
281,2,44.55,14.85,3,3,3,7.900000000000001,Standard,280,1
282,7,103.58,9.416363636363636,12,12,12,11.5,Express,82,0
283,11,206.63,9.83952380952381,21,21,21,10.985714285714286,Priority,52,0
284,2,51.61,12.9025,4,4,4,16.7,International,146,0
285,4,72.56,10.365714285714287,7,7,7,9.757142857142856,Priority,81,0
286,3,103.38,14.768571428571429,7,7,7,15.585714285714285,International,299,1
287,2,48.47,12.1175,4,4,4,18.2,Express,818,1
288,7,121.55,9.350000000000001,13,13,13,9.823076923076924,Priority,93,0
289,2,39.1,7.82,5,5,5,7.1,Standard,872,1
290,5,116.03999999999999,12.893333333333334,9,9,9,10.7,Standard,68,0
291,6,99.42,8.285000000000002,12,12,12,7.900000000000001,Standard,603,1
292,9,194.26,10.224210526315789,19,19,19,12.342105263157896,Priority,396,1
293,4,66.39,6.639,10,10,10,10.7,Express,335,1
294,5,126.10000000000001,11.463636363636365,11,11,11,15.990909090909092,International,258,1
295,4,94.76,11.845,8,8,8,7.4,Priority,165,0
296,3,77.3,9.662499999999998,8,8,8,20.6,International,202,1
297,2,50.25,10.05,5,5,5,7.1,Standard,9,0
298,11,253.6,11.02608695652174,23,23,23,13.960869565217392,International,17,0
299,3,83.75,9.305555555555555,9,9,9,13.100000000000001,International,351,1
300,3,92.39,10.265555555555556,9,9,9,15.100000000000001,Express,21,0
301,3,68.91,9.844285714285714,7,7,7,11.214285714285714,Standard,69,0
302,2,51.05,10.21,5,5,5,9.5,Express,449,1
303,3,108.67,13.58375,8,8,8,16.625,Express,697,1
304,3,31.02,6.204000000000001,5,5,5,7.7,Priority,247,1
305,6,104.65,9.513636363636364,11,11,11,13.7,Priority,13,0
306,2,55.160000000000004,13.79,4,4,4,18.2,Express,699,1
307,6,130.74,10.895000000000001,12,12,12,16.45,International,194,1
308,2,29.67,7.4175,4,4,4,15.2,International,468,1
309,1,12.219999999999999,6.109999999999999,2,2,2,24.5,International,82,0
310,4,93.07,13.295714285714284,7,7,7,11.042857142857143,Express,59,0
311,7,128.82,9.201428571428574,14,14,14,19.400000000000002,International,45,0
312,6,120.13,10.010833333333334,12,12,12,19.3,International,212,1
313,3,129.47,14.385555555555555,9,9,9,9.9,Priority,172,0
314,5,71.57,8.94625,8,8,8,16.625,Express,206,1
315,4,78.71000000000001,9.838750000000001,8,8,8,18.2,Express,470,1
316,2,62.07,10.344999999999999,6,6,6,7.900000000000001,Standard,416,1
317,4,94.15,8.559090909090909,11,11,11,8.354545454545455,Priority,122,0
318,9,164.07999999999998,10.254999999999999,16,16,16,9.275,Express,103,0
319,7,147.03,9.189375,16,16,16,11.6,Express,329,1
320,5,113.16,11.316,10,10,10,11.48,Standard,150,0
321,5,72.11,8.012222222222222,9,9,9,9.566666666666668,Priority,115,0
322,3,53.11,8.851666666666667,6,6,6,5.900000000000001,Standard,77,0
323,3,35.21,8.8025,4,4,4,10.4,Express,208,1
324,4,93.43,13.347142857142856,7,7,7,11.642857142857142,Standard,372,1
325,7,96.34,7.41076923076923,13,13,13,15.36153846153846,Express,431,1
326,4,127.06,12.706,10,10,10,20.72,International,125,0
327,3,35.599999999999994,5.933333333333334,6,6,6,7.400000000000001,Priority,278,1
328,3,36.4,9.100000000000001,4,4,4,9.65,Express,219,1
329,6,139.3,9.950000000000001,14,14,14,15.757142857142856,Express,253,1
330,2,48.17,12.0425,4,4,4,10.4,Express,150,0
331,3,103.55,11.505555555555555,9,9,9,18.299999999999997,International,34,0
332,1,20.05,10.025,2,2,2,5.9,Standard,379,1
333,4,53.73,6.7162500000000005,8,8,8,12.875,Standard,203,1
334,9,219.79,10.466190476190478,21,21,21,11.700000000000001,Express,215,1
335,1,4.85,4.85,1,1,1,11.9,Express,710,1
336,1,22.900000000000002,11.450000000000001,2,2,2,8.9,Priority,543,1
337,6,96.52,8.043333333333335,12,12,12,12.049999999999999,Standard,9,0
338,7,106.03,7.573571428571428,15,15,15,9.379999999999999,Standard,54,0
339,4,32.230000000000004,5.371666666666667,6,6,6,8.9,Priority,1,0
340,4,54.82,7.83142857142857,7,7,7,9.842857142857143,Priority,272,1
341,4,74.86,10.694285714285716,7,7,7,11.12857142857143,Express,83,0
342,4,60.67,6.7411111111111115,9,9,9,19.299999999999997,International,81,0
343,1,18.46,9.23,2,2,2,24.5,International,167,0
344,6,100.19,7.15642857142857,14,14,14,16.228571428571428,International,167,0
345,7,145.84,13.258181818181818,11,11,11,17.681818181818183,International,144,0
346,3,30.619999999999997,6.124,5,5,5,14.540000000000001,International,250,1
347,2,23.65,7.883333333333333,3,3,3,16.099999999999998,Express,421,1
348,3,57.25,9.541666666666666,6,6,6,8.9,Express,82,0
349,4,77.62,8.624444444444444,9,9,9,20.366666666666667,International,42,0
350,1,18.34,9.17,2,2,2,24.5,International,759,1
351,3,96.36999999999999,9.636999999999999,10,10,10,16.94,Express,161,0
352,3,70.58,11.763333333333334,6,6,6,10.9,Express,87,0
353,2,18.55,4.6375,4,4,4,7.4,Priority,467,1
354,3,70.49,10.069999999999999,7,7,7,12.5,Priority,294,1
355,2,31.900000000000002,7.9750000000000005,4,4,4,15.2,International,143,0
356,6,156.81,10.454000000000002,15,15,15,11.1,Express,43,0
357,4,59.78,6.642222222222221,9,9,9,10.566666666666668,Express,41,0
358,3,62.87,10.478333333333333,6,6,6,16.7,International,440,1
359,6,118.72,9.893333333333334,12,12,12,14.65,International,56,0
360,7,115.42,10.492727272727272,11,11,11,13.754545454545456,International,360,1
361,2,40.11,10.0275,4,4,4,6.65,Standard,447,1
362,3,81.09,11.584285714285715,7,7,7,17.814285714285713,International,461,1
363,2,45.46,15.153333333333334,3,3,3,8.9,Priority,382,1
364,8,156.86,9.803749999999999,17,17,17,13.841176470588236,Express,328,1
365,9,205.4,10.810526315789472,19,19,19,13.194736842105263,Priority,107,0
366,8,151.57,9.473125000000001,17,17,17,13.876470588235295,Priority,107,0
367,5,70.27,8.78375,8,8,8,10.475,Standard,64,0
368,1,20.34,10.17,2,2,2,24.5,International,250,1
369,6,142.61,8.913125,16,16,16,8.9,Express,73,0
370,2,29.79,9.93,3,3,3,11.9,Express,138,0
371,7,105.17,9.56090909090909,11,11,11,14.572727272727274,International,16,0
372,3,56.230000000000004,11.246,5,5,5,16.94,Express,452,1
373,4,75.71000000000001,12.618333333333334,6,6,6,12.5,Priority,230,1
374,2,26.02,5.204,5,5,5,9.620000000000001,Standard,144,0
375,2,43.24,10.81,4,4,4,5.9,Standard,144,0
376,1,12.06,12.06,1,1,1,5.9,Standard,485,1
377,3,40.69,8.138000000000002,5,5,5,6.5,Standard,751,1
378,2,45.14,11.284999999999998,4,4,4,18.2,Express,152,0
379,4,55.47,6.933750000000001,8,8,8,15.125,Express,458,1
380,4,72.11,9.01375,8,8,8,9.275,Express,58,0
381,4,111.44,8.572307692307692,13,13,13,21.592307692307692,International,325,1
382,5,120.82,12.081999999999999,10,10,10,16.94,Express,206,1
383,3,71.00999999999999,11.835,6,6,6,7.900000000000001,Priority,137,0
384,2,50.7,12.675,4,4,4,15.2,International,328,1
385,2,38.879999999999995,7.775999999999999,5,5,5,5.9,Standard,68,0
386,2,25.95,6.4875,4,4,4,18.2,Express,11,0
387,4,114.45,10.404545454545454,11,11,11,7.263636363636365,Standard,48,0
388,2,40.92,6.82,6,6,6,16.7,International,508,1
389,1,27.01,9.003333333333334,3,3,3,8.9,Priority,302,1
390,2,43.0,10.75,4,4,4,8.9,Priority,589,1
391,3,50.03,10.006,5,5,5,18.259999999999998,International,394,1
392,2,38.89,9.7225,4,4,4,15.2,International,269,1
393,5,138.18,11.515,12,12,12,17.150000000000002,Express,157,0
394,1,4.59,4.59,1,1,1,11.9,Express,437,1
395,3,76.49,10.927142857142858,7,7,7,8.042857142857143,Priority,701,1
396,3,68.86,8.6075,8,8,8,24.5,International,366,1
397,3,56.54,11.308,5,5,5,7.7,Priority,471,1
398,3,42.05,8.41,5,5,5,12.02,Priority,25,0
399,2,21.43,5.3575,4,4,4,15.2,International,259,1
400,1,8.27,8.27,1,1,1,24.5,International,26,0
401,2,26.32,8.773333333333332,3,3,3,16.099999999999998,Express,296,1
402,2,40.959999999999994,10.239999999999998,4,4,4,8.9,Priority,317,1
403,2,25.17,8.39,3,3,3,7.900000000000001,Standard,421,1
404,1,18.83,18.83,1,1,1,5.9,Standard,515,1
405,3,67.33,11.221666666666664,6,6,6,7.400000000000001,Priority,225,1
406,6,144.07999999999998,10.29142857142857,14,14,14,9.371428571428572,Standard,94,0
407,3,69.65,11.608333333333334,6,6,6,16.099999999999998,Express,187,1
408,2,31.66,6.332,5,5,5,10.1,Priority,477,1
409,5,103.06,11.451111111111112,9,9,9,16.166666666666668,International,261,1
410,2,40.540000000000006,10.135000000000002,4,4,4,18.2,Express,16,0
411,4,123.27,13.696666666666665,9,9,9,13.700000000000001,Express,234,1
412,5,123.27,13.696666666666665,9,9,9,13.7,Express,319,1
